industry,emp_thous_mean,tariff_shock,china_share
Fabricated_Metal,1435.0681481481483,0.1738053284470218,0.2850537115098575
Textile_Product_Mills,106.88148148148149,0.1444152676460463,0.4912330056939987
Furniture,371.58000000000004,0.1106412919923066,0.301858585521174
Apparel,102.7088888888889,0.1018245552642959,0.2290851294359888
Transportation_Equipment,1689.4133333333332,0.1008359727433998,0.0411161682492158
Machinery,1096.891111111111,0.0987786059972424,0.1525171717355032
Electrical_Equipment,401.1,0.09848162494448,0.319477771729601
Plastics_Rubber,719.5192592592593,0.0935202655271019,0.273502160194187
Nonmetallic_Mineral,411.57037037037037,0.086358189673282,0.2693110938443358
Textile_Mills,100.61703703703704,0.0858065341481907,0.2030936659688253
Primary_Metal,371.0755555555555,0.0699975697843048,0.0073642813017333
Paper,361.25481481481484,0.0557963409632463,0.1190001004275027
Food,1654.8014814814815,0.0515774141056822,0.0459271797978019
Printing,397.42074074074077,0.0432773971096317,0.3997992926863652
Wood,405.0237037037037,0.0348638365054319,0.0956442850349272
Computer_Electronic,1023.7481481481482,0.0284626972493201,0.2196660025752927
Chemical,859.2251851851852,0.0182022664972596,0.0674550082626534
Petroleum_Coal,110.55777777777777,-0.0002576945399789,0.008010649180994
