industry,cov_zT,cov_zy,beta_k,alpha_unnorm,alpha
Fabricated_Metal,1.2074863007785541,0.5807091597648943,0.48092401494780435,1.458023166567877,0.2769145934141763
Petroleum_Coal,-0.9766822987768469,0.41529886535441296,-0.42521387545828837,0.953908312744026,0.18117073763629912
Textile_Product_Mills,0.8386954637648326,-1.289889835033487,-1.537971636621571,0.7034100809397077,0.13359493939000042
Chemical,-0.7450439728725357,1.209448464415643,-1.623324942489749,0.5550905215136916,0.10542539350376712
Computer_Electronic,-0.6162945677318653,0.15338112071502807,-0.2488763145836464,0.3798189942158067,0.07213700355793014
Wood,-0.5359721240292477,0.42821244526863783,-0.7989453668774583,0.28726611773642324,0.054558927470201656
Printing,-0.4303975191143256,-1.4512968609119363,3.3719916971139217,0.18524202445976629,0.03518203349761866
Furniture,0.41489461370975766,-0.7896338176278229,-1.9032153986463092,0.17213754048536903,0.0326931684816979
Food,-0.32624767621573636,1.6109920110607878,-4.937941718841529,0.10643754623616795,0.020215117644098765
Apparel,0.30426089506346066,-3.1058787013851994,-10.207945719535848,0.09257469226481822,0.017582219443946816
Transportation_Equipment,0.29185601513458664,0.9992468205496272,3.4237664078598278,0.08517993357024006,0.0161777722141231
Paper,-0.27330795698082094,0.32178069945123666,-1.1773557674861885,0.07469723934903028,0.014186849796213558
Machinery,0.2660398724087299,0.44141555381748265,1.6592082601036382,0.07077721371125328,0.013442340154289684
Electrical_Equipment,0.26231331016147424,1.5474078777500733,5.89908257723378,0.06880827268786979,0.01306838964688439
Plastics_Rubber,0.20005743717600416,0.21190686838781247,1.0592301459974396,0.04002297816943085,0.007601351597931858
Nonmetallic_Mineral,0.11018664831399758,0.7583131611942562,6.882078480446199,0.012141097466672584,0.0023058941350703206
Textile_Mills,0.10326439305840736,-2.3268069565211995,-22.532519560785435,0.01066353487372125,0.002025268522217916
Primary_Metal,-0.09510883384842754,0.28539312374975234,-3.0007004838748825,0.009045690276007797,0.001717999893532319
