Year,Month,industry,customs_value,duties,eff_tariff
2025.0,4.0,Paper,2087174756.0,109220982.0,0.05232958174011185
2025.0,4.0,Petroleum_Coal,5064855979.0,15947946.0,0.003148746196559916
2025.0,4.0,Plastics_Rubber,6574588893.0,698261150.0,0.10620605506504634
2025.0,4.0,Primary_Metal,11476644267.0,854885330.0,0.07448913725226645
2025.0,4.0,Printing,439526141.0,29009758.0,0.06600234956218452
2025.0,4.0,Textile_Mills,730089803.0,76212076.0,0.10438726261733586
2025.0,4.0,Textile_Product_Mills,1883905877.0,341364975.0,0.18120065294535945
2025.0,4.0,Transportation_Equipment,34167282425.0,3916896402.0,0.11463880425954011
2025.0,4.0,Wood,2124798212.0,75440861.0,0.03550495316399485
2025.0,5.0,Apparel,5837462602.0,1392252732.0,0.23850306664457155
2025.0,5.0,Beverage_Tobacco_Leather,5335357325.0,813482901.0,0.15247018174176366
2025.0,5.0,Chemical,36935139370.0,1018998105.0,0.027588852306529146
2025.0,5.0,Computer_Electronic,54173864484.0,2053976139.0,0.037914521302179434
2025.0,5.0,Electrical_Equipment,15826163269.0,2510884000.0,0.15865399322135604
2025.0,5.0,Fabricated_Metal,7403569734.0,1793476973.0,0.24224489502188026
2025.0,5.0,Food,10562713923.0,795017415.0,0.0752663965715168
2025.0,5.0,Furniture,3256814511.0,532024393.0,0.16335729013828384
2025.0,5.0,Machinery,19599369881.0,2502003493.0,0.12765734348559285
2025.0,5.0,Misc,9779716951.0,1379688298.0,0.14107650609038572
2025.0,5.0,Nonmetallic_Mineral,2274294342.0,374171378.0,0.1645219666997703
2025.0,5.0,Paper,2093171518.0,182387867.0,0.08713469748254046
2025.0,5.0,Petroleum_Coal,5612475474.0,22390482.0,0.003989412889860229
2025.0,5.0,Plastics_Rubber,6172381586.0,1046657091.0,0.169571028041104
2025.0,5.0,Primary_Metal,10541595539.0,947535104.0,0.08988535943107198
2025.0,5.0,Printing,492238357.0,40950368.0,0.08319215156164679
2025.0,5.0,Textile_Mills,708959805.0,105085160.0,0.1482244257839131
2025.0,5.0,Textile_Product_Mills,1633097150.0,391720678.0,0.23986367130700093
2025.0,5.0,Transportation_Equipment,38560038292.0,5784119949.0,0.15000296175017086
2025.0,5.0,Wood,2166795260.0,105464800.0,0.04867317274821803
2025.0,6.0,Apparel,6737146624.0,1707697846.0,0.253474941441322
2025.0,6.0,Beverage_Tobacco_Leather,5653367117.0,906064415.0,0.16026987037077642
2025.0,6.0,Chemical,26853175394.0,990323096.0,0.03687918026339913
2025.0,6.0,Computer_Electronic,55354399520.0,1970176396.0,0.03559204711972639
2025.0,6.0,Electrical_Equipment,16145583358.0,2238688864.0,0.1386564247547456
2025.0,6.0,Fabricated_Metal,7025567701.0,1854702344.0,0.2639932348436421
2025.0,6.0,Food,10092403334.0,874600769.0,0.08665931592860376
2025.0,6.0,Furniture,3143269464.0,507508557.0,0.1614588131283421
2025.0,6.0,Machinery,19277441337.0,2323218306.0,0.1205148684094787
2025.0,6.0,Misc,10042668672.0,1236855734.0,0.1231600657550798
2025.0,6.0,Nonmetallic_Mineral,2244905381.0,329915883.0,0.14696204383145892
2025.0,6.0,Paper,2037341252.0,176687348.0,0.08672447378491505
2025.0,6.0,Petroleum_Coal,5617074679.0,28575969.0,0.005087340053860088
2025.0,6.0,Plastics_Rubber,5921290423.0,882348612.0,0.14901289228657041
2025.0,6.0,Primary_Metal,9779540308.0,1361099971.0,0.13917831801220487
2025.0,6.0,Printing,482117941.0,33761086.0,0.07002661201525376
2025.0,6.0,Textile_Mills,670523676.0,101348026.0,0.1511475726026414
2025.0,6.0,Textile_Product_Mills,1548888096.0,349579301.0,0.22569693827642406
2025.0,6.0,Transportation_Equipment,35632790732.0,5204512810.0,0.14605964627199663
2025.0,6.0,Wood,2020992979.0,93985989.0,0.046504856759326724
2025.0,7.0,Apparel,7980842445.0,2110474568.0,0.2644425801592178
2025.0,7.0,Beverage_Tobacco_Leather,6019197250.0,1003679758.0,0.16674644746024894
2025.0,7.0,Chemical,27609793663.0,1097880536.0,0.03976417025786304
2025.0,7.0,Computer_Electronic,59995339825.0,2123763868.0,0.03539881387779105
2025.0,7.0,Electrical_Equipment,17867033171.0,2811396594.0,0.15735105918777723
2025.0,7.0,Fabricated_Metal,8013737506.0,2286737149.0,0.28535214028259437
2025.0,7.0,Food,10949104435.0,1018993931.0,0.09306641808463123
2025.0,7.0,Furniture,3412325526.0,634714567.0,0.1860064528321909
2025.0,7.0,Machinery,21441559930.0,2900221641.0,0.13526169040257885
2025.0,7.0,Misc,12148322338.0,1713844502.0,0.14107664040483084
2025.0,7.0,Nonmetallic_Mineral,2590772187.0,446837165.0,0.17247258066229967
2025.0,7.0,Paper,2172578640.0,204754949.0,0.09424512661138931
2025.0,7.0,Petroleum_Coal,5019333014.0,19583606.0,0.0039016351266945447
2025.0,7.0,Plastics_Rubber,6834142768.0,1145213730.0,0.16757240357376157
2025.0,7.0,Primary_Metal,21007617894.0,1438640014.0,0.06848182508169529
2025.0,7.0,Printing,548413912.0,39745666.0,0.07247384708942249
2025.0,7.0,Textile_Mills,769867181.0,133242270.0,0.17307176262135013
2025.0,7.0,Textile_Product_Mills,1879296602.0,468638439.0,0.24936906633112724
2025.0,7.0,Transportation_Equipment,34911267648.0,5885932320.0,0.1685969234731353
2025.0,7.0,Wood,2272227987.0,120523249.0,0.05304188210406018
2025.0,8.0,Apparel,7648476250.0,2083222681.0,0.27237094198991596
2025.0,8.0,Beverage_Tobacco_Leather,5571044119.0,978917307.0,0.1757152314880097
2025.0,8.0,Chemical,24178280292.0,990621565.0,0.04097154772946248
2025.0,8.0,Computer_Electronic,57376787313.0,2093479704.0,0.03648652707896866
2025.0,8.0,Electrical_Equipment,16347077849.0,2787582510.0,0.17052482013906387
2025.0,8.0,Fabricated_Metal,7170750299.0,2114164015.0,0.2948316322344723
2025.0,8.0,Food,9577502615.0,845112844.0,0.088239374915587
2025.0,8.0,Furniture,3175924027.0,606233766.0,0.1908842153798788
2025.0,8.0,Machinery,18626124686.0,2898447600.0,0.15561195089489374
2025.0,8.0,Misc,10980279396.0,1674005387.0,0.15245562764184512
2025.0,8.0,Nonmetallic_Mineral,2404556055.0,414849491.0,0.1725264379415767
2025.0,8.0,Paper,2131968608.0,204679895.0,0.0960051166944762
2025.0,8.0,Petroleum_Coal,5332037193.0,13588291.0,0.0025484238965622686
2025.0,8.0,Plastics_Rubber,6355786611.0,1089127556.0,0.1713599940745399
2025.0,8.0,Primary_Metal,8998264945.0,1438770125.0,0.1598941722425578
2025.0,8.0,Printing,499208709.0,34639633.0,0.06938907990886033
2025.0,8.0,Textile_Mills,704944658.0,123094299.0,0.17461554975000604
2025.0,8.0,Textile_Product_Mills,1873027511.0,459386215.0,0.2452639976199474
2025.0,8.0,Transportation_Equipment,35403558224.0,5870874378.0,0.16582724089072343
2025.0,8.0,Wood,1858996482.0,105559535.0,0.0567830741058928
2025.0,9.0,Apparel,7702031555.0,2342781479.0,0.3041770813674627
2025.0,9.0,Beverage_Tobacco_Leather,5227609749.0,1075396688.0,0.20571479885347502
2025.0,9.0,Chemical,40654879969.0,1144724899.0,0.028157133900601136
2025.0,9.0,Computer_Electronic,61154626820.0,3054998868.0,0.04995531862195737
2025.0,9.0,Electrical_Equipment,15004181205.0,2886649038.0,0.19238964116469426
2025.0,9.0,Fabricated_Metal,7052181370.0,2189869986.0,0.3105237757094157
2025.0,9.0,Food,9637199854.0,1021523352.0,0.10599794208646697
2025.0,9.0,Furniture,3024834760.0,669488071.0,0.2213304607091992
2025.0,9.0,Machinery,17408312806.0,3331633648.0,0.191381766006164
2025.0,9.0,Misc,10743763601.0,1778681257.0,0.16555476489025178
2025.0,9.0,Nonmetallic_Mineral,2261244548.0,426094711.0,0.18843371513128354
2025.0,9.0,Paper,2036016878.0,210138140.0,0.1032104115985624
2025.0,9.0,Petroleum_Coal,5496758985.0,12871299.0,0.002341616038673742
2025.0,9.0,Plastics_Rubber,6046686684.0,1119422890.0,0.18512996430955805
2025.0,9.0,Primary_Metal,10937439789.0,1396751648.0,0.12770371082680068
2025.0,9.0,Printing,547248821.0,39837040.0,0.07279511343159202
2025.0,9.0,Textile_Mills,653580255.0,129237017.0,0.1977370277197251
2025.0,9.0,Textile_Product_Mills,1800299273.0,522350950.0,0.29014673162065985
2025.0,9.0,Transportation_Equipment,35378962486.0,5461526989.0,0.15437216371625398
2025.0,9.0,Wood,1758622927.0,128607375.0,0.07312959078691689
2025.0,10.0,Apparel,6568129799.0,2153833425.0,0.32792187287893154
2025.0,10.0,Beverage_Tobacco_Leather,5093896061.0,1031527617.0,0.20250268255326304
2025.0,10.0,Chemical,25163851906.0,1246833406.0,0.04954859099702095
2025.0,10.0,Computer_Electronic,72648868049.0,3112666847.0,0.0428453591995484
2025.0,10.0,Electrical_Equipment,15519341143.0,3057070528.0,0.19698455622769087
2025.0,10.0,Fabricated_Metal,7078449195.0,2184672578.0,0.3086371771295873
2025.0,10.0,Food,9731447964.0,1095413937.0,0.11256433174716815
2025.0,10.0,Furniture,2928443061.0,737789637.0,0.25193921194017027
2025.0,10.0,Machinery,18269557247.0,3589184794.0,0.19645713059572756
2025.0,10.0,Misc,11427351000.0,1866092023.0,0.16330049046362538
2025.0,10.0,Nonmetallic_Mineral,2216953819.0,427918930.0,0.19302112941307056
2025.0,10.0,Paper,2053421339.0,222851733.0,0.10852703669112888
2025.0,10.0,Petroleum_Coal,4831775571.0,18925359.0,0.003916853902236015
2025.0,10.0,Plastics_Rubber,5990274728.0,1114917258.0,0.18612122291964436
2025.0,10.0,Primary_Metal,10070831386.0,1507718405.0,0.14971141380601008
2025.0,10.0,Printing,540480138.0,41789385.0,0.07731900223870947
2025.0,10.0,Textile_Mills,667926739.0,145085739.0,0.21721804283089197
2025.0,10.0,Textile_Product_Mills,1701068411.0,562695722.0,0.3307895898608866
2025.0,10.0,Transportation_Equipment,37238986588.0,5093471006.0,0.1367779167127318
2025.0,10.0,Wood,1727617486.0,180396363.0,0.10441915786443945
2025.0,11.0,Apparel,5508655355.0,1737796473.0,0.31546654510209415
2025.0,11.0,Beverage_Tobacco_Leather,4839533704.0,964559071.0,0.1993082660428146
2025.0,11.0,Chemical,24973885918.0,1029423241.0,0.0412199865243254
2025.0,11.0,Computer_Electronic,68049096337.0,2404661889.0,0.03533716123269847
2025.0,11.0,Electrical_Equipment,14582929751.0,2708137473.0,0.18570599455944675
2025.0,11.0,Fabricated_Metal,6277989581.0,1809896053.0,0.28829229957270935
2025.0,11.0,Food,9397252891.0,926548291.0,0.09859778189936551
2025.0,11.0,Furniture,2871828550.0,577549825.0,0.2011087413278902
2025.0,11.0,Machinery,17453964613.0,3129222128.0,0.17928431719572205
2025.0,11.0,Misc,10063377809.0,1489697815.0,0.14803158971808805
2025.0,11.0,Nonmetallic_Mineral,2067556115.0,377601826.0,0.18263196014875757
2025.0,11.0,Paper,1950543736.0,195255452.0,0.1001030883831461
2025.0,11.0,Petroleum_Coal,4100907032.0,12023424.0,0.0029318938240197588
2025.0,11.0,Plastics_Rubber,5708456835.0,998453399.0,0.17490776016352236
2025.0,11.0,Primary_Metal,7983464704.0,1456782677.0,0.18247499438058518
2025.0,11.0,Printing,461895943.0,29971867.0,0.06488878600087639
2025.0,11.0,Textile_Mills,616418877.0,125332941.0,0.20332430701988383
2025.0,11.0,Textile_Product_Mills,1514468980.0,472882819.0,0.3122433177865419
2025.0,11.0,Transportation_Equipment,35077111394.0,4634955266.0,0.13213617318536716
2025.0,11.0,Wood,1593128079.0,161613918.0,0.10144439742813673
2025.0,12.0,Apparel,6415706680.0,2014308573.0,0.31396519097098124
2025.0,12.0,Beverage_Tobacco_Leather,4835674620.0,985419504.0,0.20378118493009773
2025.0,12.0,Chemical,25722642045.0,1026939658.0,0.039923568356758976
2025.0,12.0,Computer_Electronic,71974428843.0,2273034331.0,0.03158113746144813
2025.0,12.0,Electrical_Equipment,15340508127.0,2708264549.0,0.1765433404538491
2025.0,12.0,Fabricated_Metal,6810395941.0,1940897036.0,0.28499033724535694
2025.0,12.0,Food,9670732624.0,892381008.0,0.09227646370714096
2025.0,12.0,Furniture,3152780963.0,750283842.0,0.23797525131148795
2025.0,12.0,Machinery,19347497968.0,3267619229.0,0.16889104908575328
2025.0,12.0,Misc,9918315778.0,1334811236.0,0.1345804333998691
2025.0,12.0,Nonmetallic_Mineral,2157676652.0,389852097.0,0.18068142723731898
2025.0,12.0,Paper,1891841544.0,184071311.0,0.0972974251378423
2025.0,12.0,Petroleum_Coal,4900206679.0,12686541.0,0.002588980798375015
2025.0,12.0,Plastics_Rubber,5794284382.0,1021714625.0,0.17633146004603542
2025.0,12.0,Primary_Metal,12213640432.0,1489051180.0,0.12191706381814335
2025.0,12.0,Printing,467786580.0,26002376.0,0.0555859811113008
2025.0,12.0,Textile_Mills,632455862.0,127157805.0,0.2010540381393445
2025.0,12.0,Textile_Product_Mills,1526421917.0,461174975.0,0.30212811403179035
2025.0,12.0,Transportation_Equipment,37902478334.0,4619378922.0,0.1218753792639527
2025.0,12.0,Wood,1529408646.0,195679615.0,0.1279446245526194
